variant,image,family
Tornado,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0097/000007.jpg,Tornado
Tornado,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0097/000011.jpg,Tornado
Tornado,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0097/000018.jpg,Tornado
Tornado,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0097/000015.jpg,Tornado
Tornado,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0097/000029.jpg,Tornado
Tornado,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0097/000003.jpg,Tornado
Tornado,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0097/000030.jpg,Tornado
Tornado,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0097/000025.jpg,Tornado
Tornado,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0097/000019.jpg,Tornado
Tornado,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0097/000034.jpg,Tornado
Tornado,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0097/000032.jpg,Tornado
Tornado,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0097/000024.jpg,Tornado
Tornado,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0097/000001.jpg,Tornado
Tornado,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0097/000008.jpg,Tornado
Tornado,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0097/000017.jpg,Tornado
Tornado,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0097/000020.jpg,Tornado
Tornado,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0097/000002.jpg,Tornado
Tornado,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0097/000028.jpg,Tornado
Tornado,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0097/000023.jpg,Tornado
Tornado,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0097/000005.jpg,Tornado
Tornado,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0097/000010.jpg,Tornado
Tornado,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0097/000027.jpg,Tornado
Tornado,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0097/000004.jpg,Tornado
Tornado,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0097/000013.jpg,Tornado
Tornado,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0097/000014.jpg,Tornado
Tornado,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0097/000031.jpg,Tornado
Tornado,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0097/000012.jpg,Tornado
Tornado,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0097/000009.jpg,Tornado
Tornado,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0097/000006.jpg,Tornado
Tornado,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0097/000021.jpg,Tornado
Tornado,/content/gdrive/My Drive/Retail Pulse ML Assignment Data/train/0097/000022.jpg,Tornado
